trader,realized_pnl,unrealized_pnl,net_pnl,tokens_traded
3nzg1Unw5xdfNe5B1fc3QeZYKbXg5NtK7D89ro62Y9KL,0.0,-85.48453346928275,-85.48453346928275,1
BMYAMQwpnGVLj1WnGzJjtAo2sQeZoP9FQTcctuwvELTz,0.0,-1109.5742669700983,-1109.5742669700983,1
5AquDDzAg5o29Gn8VDrRiiueger9Ac1RXUw9Q9xhJXbQ,6574.689880474609,-4146.241792820951,2428.448087653658,11
9KJZ8KRXPTjE9jcR2T15uytTjE7ZfWYWBcxnrEZ1SMQq,0.0,-68.09789001051573,-68.09789001051573,1
59puf9koHVBEy4abi9xQFr2AGxHaZo45BXomiJAWXtQ8,0.0,-635.2828441449591,-635.2828441449591,3
EYZPhrFHCENLidmitqfYsoWBVFha8TDqWrhTPs5nNnY7,0.0,-1255.316204120734,-1255.316204120734,3
GaYGXF6JRMZVdmxWswerb3oWVAs1aJrktwrxXdm1LNW3,0.7121022851927328,0.0,0.7121022851927328,1
HFrfeNZvBUnbY75GyzDrzQxzA2xg1YQqGHvNN7cbrMXw,0.0,-1416.732731464851,-1416.732731464851,4
4CH1wgHqyirN8KR3o9L8oYNpDtRmDccCtiRJjnjLtnYp,456.81158183423236,-679.2604043597767,-222.4488225255443,10
XJ7tbEKnrwvioTxABhEtwmG4AWkGEDDJASstUzBgh7x,1025.1145771589904,-5957.505445526023,-4932.390868367032,33
EjGoqt5ssfTyorVYWSaPxPu8DChTyFzijW7pBaE1xMD6,0.0,-1819.7190605733576,-1819.7190605733576,3
DU6foBKYjsKPtKtiiUxe73kTMsac8vxMsCZTAXvs5eeU,13.8704366570052,-2426.0442318541427,-2412.1737951971377,5
3CtFTEiSsJWM6waiRMpBFJ8JnPSaW6CrqSictoZei5f3,-166.61890100000005,-198.47487622583702,-365.0937772258371,2
AKQd6Gcft4F9Y4UcvHq5qPsj1aW8Sfyy2LePfP7mwKhW,427.48249830087,-3333.6120140712383,-2906.129515770368,17
7pwBQsEfQT7LTSwG8vAg6iZ5eApVzrDNHoZKoGA1wqmP,302.18230404232236,0.0,302.18230404232236,1
HtQ89d9UtFLAk2PcoGw4yZbJkXTMA5RvN38YYHDRomTC,0.0,-254.96554110808583,-254.96554110808583,1
2zXXCc87o2zuwyzgoCwnaJXrSBthJTQ1AdEyJCwgW9sJ,0.0,-399.63636311183103,-399.63636311183103,1
HEYh9mG76ckknKiGGzqoz1aktk85LkXsH3jUfuk9q9cy,-5.118407860975083,-1361.8731758835856,-1366.9915837445608,3
6zUvojUDftgtqF8gH9g5RXVfXpnuos41T626YBc8Mu4e,0.0,-3072.273680827136,-3072.273680827136,2
AbH1di58ND9wfstnML9NzFy4Cm5bFKqQsYvs4PQnYhjH,71.54241797975843,-247.58371087073021,-176.0412928909718,2
uwC16odW3GQ93qokkrQUeqqYuSGUkEkVu2bYT89UUXT,-225.40824646274763,-314.8510486654341,-540.2592951281817,6
6eg9LeYdAiwefuZvdttar7T8tSjw2Ts69yEM61mFxXC4,0.0,-134.0307808622194,-134.0307808622194,1
6h6SwH2CgBPMWwch5j3zqYVSwoHBtLkgskUzejt8unsg,-46.27508905314653,-799.1226977374898,-845.3977867906364,5
6mC7wS7PfqFLuzoNzZsirbp8B3zz5JaCjP5sDpmPUjn8,-36.757385251503024,-1314.5527227855928,-1351.3101080370957,5
